date,daily_total,anomaly,anomaly_label
1970-01-04,683.57,1,Normal
1970-01-06,809.19,1,Normal
1970-01-07,190.42,1,Normal
1970-01-08,1028.8,1,Normal
1970-01-12,462.28,1,Normal
1970-01-13,175.24,1,Normal
1970-01-14,348.68,1,Normal
1970-01-15,234.9,1,Normal
1970-01-16,662.55,1,Normal
1970-01-18,472.78,1,Normal
1970-01-19,181.39,1,Normal
1970-01-25,444.88,1,Normal
1970-01-26,785.66,1,Normal
1970-01-29,430.9,1,Normal
1970-01-31,915.8900000000001,1,Normal
1970-02-01,956.63,1,Normal
1970-02-03,2337.33,-1,Anomaly
1970-02-08,1670.0900000000001,1,Normal
1970-02-09,942.34,1,Normal
1970-02-10,1235.6299999999999,1,Normal
1970-02-13,982.06,1,Normal
1970-02-15,400.72,1,Normal
1970-02-17,1447.96,1,Normal
1970-02-18,127.25,1,Normal
1970-02-21,334.01,1,Normal
1970-02-23,1238.73,1,Normal
1970-02-24,739.32,1,Normal
1970-02-27,1541.96,1,Normal
1970-03-02,709.09,1,Normal
1970-03-05,1765.56,1,Normal
1970-03-06,723.11,1,Normal
1970-03-07,1321.8,1,Normal
1970-03-10,1431.27,1,Normal
1970-03-11,1220.85,1,Normal
1970-03-12,523.29,1,Normal
1970-03-13,1126.17,1,Normal
1970-03-14,1272.4,1,Normal
1970-03-16,429.55,1,Normal
1970-03-17,816.87,1,Normal
1970-03-19,755.87,1,Normal
1970-03-21,280.53,1,Normal
1970-03-22,791.71,1,Normal
1970-03-23,922.54,1,Normal
1970-03-24,1154.19,1,Normal
1970-03-27,381.95,1,Normal
1970-03-28,692.95,1,Normal
1970-03-29,1461.45,1,Normal
1970-03-31,489.54999999999995,1,Normal
1970-04-03,620.27,1,Normal
1970-04-04,1194.46,1,Normal
1970-04-05,999.11,1,Normal
1970-04-11,556.66,1,Normal
1970-04-12,959.0,1,Normal
1970-04-15,128.88,1,Normal
1970-04-17,914.31,1,Normal
1970-04-18,532.37,1,Normal
1970-04-21,660.1,1,Normal
1970-04-22,780.0799999999999,1,Normal
1970-04-25,695.78,1,Normal
1970-04-26,206.51,1,Normal
1970-04-27,611.78,1,Normal
1970-04-29,347.22,1,Normal
1970-04-30,1744.28,1,Normal
1970-05-01,1551.5700000000002,1,Normal
1970-05-02,886.05,1,Normal
1970-05-05,627.21,1,Normal
1970-05-06,430.63,1,Normal
1970-05-08,1069.8700000000001,1,Normal
1970-05-09,896.89,1,Normal
1970-05-13,241.55,1,Normal
1970-05-15,816.63,1,Normal
1970-05-16,130.85,1,Normal
1970-05-17,764.74,1,Normal
1970-05-20,429.23,1,Normal
1970-05-22,763.08,1,Normal
1970-05-23,491.53,1,Normal
1970-05-25,608.19,1,Normal
1970-05-27,1510.12,1,Normal
1970-05-28,134.18,1,Normal
1970-05-30,887.69,1,Normal
1970-06-01,594.18,1,Normal
1970-06-04,853.48,1,Normal
1970-06-07,316.69,1,Normal
1970-06-08,682.93,1,Normal
1970-06-09,1595.9699999999998,1,Normal
1970-06-10,583.34,1,Normal
1970-06-11,157.61,1,Normal
1970-06-13,2193.1400000000003,-1,Anomaly
1970-06-15,634.24,1,Normal
1970-06-16,152.13,1,Normal
1970-06-18,1061.56,1,Normal
1970-06-20,935.53,1,Normal
1970-06-22,1373.37,1,Normal
1970-06-23,974.45,1,Normal
1970-06-24,224.69,1,Normal
1970-06-25,400.51,1,Normal
1970-06-26,3806.12,-1,Anomaly
1970-06-27,1028.81,1,Normal
1970-06-28,408.1,1,Normal
1970-06-29,104.48,-1,Anomaly
1970-07-01,714.55,1,Normal
1970-07-02,1293.67,1,Normal
1970-07-03,673.3399999999999,1,Normal
1970-07-04,653.19,1,Normal
1970-07-06,1195.67,1,Normal
1970-07-07,658.9499999999999,1,Normal
1970-07-10,488.67,1,Normal
1970-07-11,917.85,1,Normal
1970-07-12,723.3,1,Normal
1970-07-14,1223.23,1,Normal
1970-07-15,1085.1299999999999,1,Normal
1970-07-17,1603.62,1,Normal
1970-07-22,1166.87,1,Normal
1970-07-24,874.8,1,Normal
1970-07-25,430.96,1,Normal
1970-07-27,762.5,1,Normal
1970-07-29,958.63,1,Normal
1970-08-02,708.5,1,Normal
1970-08-03,287.69,1,Normal
1970-08-06,549.43,1,Normal
1970-08-07,896.86,1,Normal
1970-08-08,1091.56,1,Normal
1970-08-09,426.7,1,Normal
1970-08-11,670.12,1,Normal
1970-08-13,284.07,1,Normal
1970-08-17,105.61,-1,Anomaly
1970-08-18,525.54,1,Normal
1970-08-19,727.41,1,Normal
1970-08-20,872.17,1,Normal
1970-08-21,552.39,1,Normal
1970-08-22,753.52,1,Normal
1970-08-23,812.99,1,Normal
1970-08-25,1205.75,1,Normal
1970-08-27,734.1,1,Normal
1970-09-02,474.47,1,Normal
1970-09-03,1715.89,1,Normal
1970-09-04,801.71,1,Normal
1970-09-05,569.64,1,Normal
1970-09-10,600.68,1,Normal
1970-09-16,834.55,1,Normal
1970-09-17,1780.14,1,Normal
1970-09-20,482.5,1,Normal
1970-09-24,856.19,1,Normal
1970-09-25,614.4,1,Normal
1970-09-26,1336.51,1,Normal
1970-09-30,2582.27,-1,Anomaly
1970-10-01,790.86,1,Normal
1970-10-02,680.11,1,Normal
1970-10-03,139.94,1,Normal
1970-10-06,771.64,1,Normal
1970-10-08,682.69,1,Normal
1970-10-09,733.59,1,Normal
1970-10-10,237.86,1,Normal
1970-10-11,751.05,1,Normal
1970-10-12,672.65,1,Normal
1970-10-13,904.99,1,Normal
1970-10-14,1380.4099999999999,1,Normal
1970-10-16,645.14,1,Normal
1970-10-17,448.27,1,Normal
1970-10-19,547.66,1,Normal
1970-10-21,978.67,1,Normal
1970-10-24,403.03999999999996,1,Normal
1970-10-25,788.86,1,Normal
1970-10-31,1596.58,1,Normal
1970-11-01,1010.8,1,Normal
1970-11-02,726.32,1,Normal
1970-11-03,983.1,1,Normal
1970-11-04,1417.34,1,Normal
1970-11-05,393.95,1,Normal
1970-11-06,502.47,1,Normal
1970-11-07,310.79,1,Normal
1970-11-11,773.17,1,Normal
1970-11-14,1256.44,1,Normal
1970-11-21,1514.4099999999999,1,Normal
1970-11-22,1317.78,1,Normal
1970-11-23,345.35,1,Normal
1970-11-26,583.82,1,Normal
1970-11-27,937.95,1,Normal
1970-11-28,300.27,1,Normal
1970-11-29,1270.01,1,Normal
1970-11-30,365.06,1,Normal
1970-12-04,113.48,-1,Anomaly
1970-12-05,952.9100000000001,1,Normal
1970-12-06,545.27,1,Normal
1970-12-08,975.59,1,Normal
1970-12-10,689.83,1,Normal
1970-12-11,222.47,1,Normal
1970-12-12,641.9,1,Normal
1970-12-13,920.18,1,Normal
1970-12-18,332.44,1,Normal
1970-12-21,903.05,1,Normal
1970-12-22,255.49,1,Normal
1970-12-23,924.03,1,Normal
1970-12-24,647.37,1,Normal
1970-12-25,667.29,1,Normal
1970-12-27,1331.08,1,Normal
1970-12-30,365.41,1,Normal
1971-01-03,695.87,1,Normal
1971-01-04,612.12,1,Normal
1971-01-06,702.26,1,Normal
1971-01-09,801.77,1,Normal
1971-01-14,918.99,1,Normal
1971-01-15,1840.26,1,Normal
1971-01-16,658.67,1,Normal
1971-01-18,985.63,1,Normal
1971-01-20,509.08,1,Normal
1971-01-22,1001.6200000000001,1,Normal
1971-01-23,744.96,1,Normal
1971-01-24,138.71,1,Normal
1971-01-26,631.75,1,Normal
1971-01-27,651.3199999999999,1,Normal
1971-01-29,540.32,1,Normal
1971-01-30,850.06,1,Normal
1971-02-01,461.8,1,Normal
1971-02-02,198.52,1,Normal
1971-02-04,969.0,1,Normal
1971-02-05,281.97,1,Normal
1971-02-07,2198.5,-1,Anomaly
1971-02-09,503.49,1,Normal
1971-02-10,595.28,1,Normal
1971-02-11,545.8,1,Normal
1971-02-12,2979.13,-1,Anomaly
1971-02-13,1372.83,1,Normal
1971-02-14,971.84,1,Normal
1971-02-15,763.99,1,Normal
1971-02-16,260.71,1,Normal
1971-02-19,182.63,1,Normal
1971-02-25,807.35,1,Normal
1971-02-26,1131.4299999999998,1,Normal
1971-03-01,329.53,1,Normal
1971-03-02,352.5,1,Normal
1971-03-07,330.29,1,Normal
1971-03-08,489.58000000000004,1,Normal
1971-03-09,343.85,1,Normal
1971-03-10,372.03,1,Normal
1971-03-12,1800.24,1,Normal
1971-03-14,147.12,1,Normal
1971-03-18,579.12,1,Normal
1971-03-19,792.23,1,Normal
1971-03-23,1365.4099999999999,1,Normal
